Date,10YYSS
5/3/2018,-3.033
5/2/2018,-3.029
5/1/2018,-2.589
4/30/2018,-3.018
4/27/2018,-2.775
4/26/2018,-2.803
4/25/2018,-2.911
4/24/2018,-2.32
4/23/2018,-2.51
4/20/2018,-3.296
4/19/2018,-2.368
4/18/2018,-2.792
4/17/2018,-5.032
4/16/2018,-2.989
4/13/2018,-3.757
4/12/2018,-3.646
4/11/2018,-3.3
4/10/2018,-2.367
4/9/2018,-2.186
4/6/2018,-2.809
4/5/2018,-3.152
4/4/2018,-4.583
4/3/2018,-2.457
4/2/2018,-3.269
3/29/2018,-3.547
3/28/2018,-2.121
3/27/2018,-2.388
3/26/2018,-3.166
3/23/2018,-3.836
3/22/2018,-4.352
3/21/2018,-4.487
3/20/2018,-3.56
3/19/2018,-3.573
3/16/2018,-4.37
3/15/2018,-3.622
3/14/2018,-4.414
3/13/2018,-4.695
3/12/2018,-3.02
3/9/2018,-2.654
3/8/2018,-2.642
3/7/2018,-1.963
3/6/2018,-1.542
3/5/2018,-0.771
3/2/2018,-0.937
3/1/2018,-0.634
2/28/2018,-1.468
2/27/2018,-1.404
2/26/2018,-0.053
2/23/2018,-0.386
2/22/2018,-1.49
2/21/2018,-2.577
2/20/2018,-1.172
2/19/2018,-1.736
2/16/2018,-1.736
2/15/2018,-2.643
2/14/2018,-1.322
2/13/2018,-0.749
2/12/2018,-0.898
2/9/2018,-0.651
2/8/2018,-2.136
2/7/2018,-0.462
2/6/2018,-2.036
2/5/2018,-1.047
2/2/2018,-2.391
2/1/2018,-2.562
1/31/2018,-2.28
1/30/2018,-1.26
1/29/2018,-1.686
1/26/2018,-1.491
1/25/2018,-1.469
1/24/2018,-1.94
1/23/2018,-2.053
1/22/2018,-4.221
1/19/2018,-3.301
1/18/2018,-0.293
1/17/2018,-0.308
1/16/2018,0.107
1/15/2018,1.285
1/12/2018,1.285
1/11/2018,1.587
1/10/2018,2.141
1/9/2018,1.766
1/8/2018,1.633
1/5/2018,1.436
1/4/2018,1.038
1/3/2018,1.904
1/2/2018,2.463
1/1/2018,1.541
12/29/2017,1.92
12/28/2017,1.92
12/27/2017,1.774
12/26/2017,2.03
12/25/2017,2.702
12/22/2017,2.702
12/21/2017,1.966
12/20/2017,2.57
12/19/2017,2.047
12/18/2017,1.521
12/15/2017,1.611
12/14/2017,1.026
12/13/2017,0.149
12/12/2017,-0.49
12/11/2017,-0.996
12/8/2017,-0.745
12/7/2017,-1.064
12/6/2017,-1.542
12/5/2017,-1.404
12/4/2017,-1.077
12/1/2017,0.455
11/30/2017,1.245
11/29/2017,0.984
11/28/2017,0.662
11/27/2017,0.838
11/24/2017,0.191
11/23/2017,0.08
11/22/2017,0.08
11/21/2017,0.021
11/20/2017,0.694
11/17/2017,1.539
11/16/2017,0.519
11/15/2017,1.554
11/14/2017,1.646
11/13/2017,1.4
11/10/2017,1.923
11/9/2017,1.739
11/7/2017,2.977
11/6/2017,3.358
11/3/2017,3.075
11/2/2017,2.626
11/1/2017,3.141
10/31/2017,3.854
10/30/2017,3.252
10/27/2017,3.469
10/26/2017,3.417
10/25/2017,2.91
10/24/2017,2.99
10/23/2017,3.205
10/20/2017,3.184
10/19/2017,2.936
10/18/2017,3.164
10/17/2017,2.691
10/16/2017,3.944
10/13/2017,5.12
10/12/2017,4.939
10/11/2017,5.295
10/10/2017,5.065
10/9/2017,5.058
10/6/2017,5.058
10/5/2017,5.193
10/4/2017,4.744
10/3/2017,5.011
10/2/2017,4.757
9/29/2017,4.899
9/28/2017,4.449
9/27/2017,4.804
9/26/2017,4.319
9/25/2017,3.916
9/22/2017,3.619
9/21/2017,3.728
9/20/2017,4.567
9/19/2017,4.179
9/18/2017,3.472
9/15/2017,3.514
9/14/2017,3.602
9/13/2017,5.005
9/12/2017,5.247
9/11/2017,4.904
9/8/2017,4.305
9/7/2017,4.08
9/6/2017,4.841
9/5/2017,5.242
9/4/2017,5.373
9/1/2017,5.373
8/31/2017,5.555
8/30/2017,5.368
8/29/2017,5.908
8/28/2017,6.444
8/25/2017,6.014
8/24/2017,6.216
8/23/2017,6.727
8/22/2017,5.869
8/21/2017,5.7
8/18/2017,5.103
8/17/2017,4.907
8/16/2017,4.748
8/15/2017,4.059
8/14/2017,4.25
8/11/2017,3.734
8/10/2017,4.69
8/8/2017,6.943
8/7/2017,5.436
8/4/2017,4.662
8/3/2017,4.556
8/2/2017,5.201
8/1/2017,5.802
7/31/2017,5.429
7/28/2017,5.107
7/27/2017,4.787
7/26/2017,4.748
7/25/2017,4.852
7/24/2017,4.614
7/21/2017,3.444
7/20/2017,4.166
7/19/2017,5.271
7/18/2017,6.649
7/17/2017,6.905
7/14/2017,5.908
7/13/2017,6.052
7/12/2017,5.409
7/11/2017,5.176
7/10/2017,4.703
7/7/2017,4.652
7/6/2017,3.084
7/5/2017,3.315
7/4/2017,3.542
7/3/2017,3.542
6/30/2017,2.799
6/29/2017,3.644
6/28/2017,2.454
6/27/2017,2.489
6/26/2017,2.246
6/23/2017,3.285
6/22/2017,5.717
6/21/2017,3.015
6/20/2017,2.33
6/19/2017,2.125
6/16/2017,3.95
6/15/2017,2.704
6/14/2017,3.039
6/13/2017,3.291
6/12/2017,5.33
6/9/2017,4.391
6/8/2017,4.724
6/7/2017,4.566
6/6/2017,4.903
6/5/2017,5.643
6/2/2017,5.72
6/1/2017,6.164
5/31/2017,5.334
5/30/2017,5.922
5/29/2017,4.946
5/26/2017,4.946
5/25/2017,5.6
5/24/2017,5.795
5/23/2017,6.03
5/22/2017,6.761
5/19/2017,6.415
5/18/2017,7.387
5/17/2017,8.213
5/16/2017,8.196
5/15/2017,8.782
5/12/2017,7.918
5/11/2017,7.999
5/10/2017,9.373
5/9/2017,7.845
5/8/2017,6.865
5/5/2017,7.087
5/4/2017,6.207
5/3/2017,5.273
5/2/2017,4.556
5/1/2017,4.507
4/28/2017,3.676
4/27/2017,3.81
4/26/2017,2.813
4/25/2017,2.747
4/24/2017,3.17
4/21/2017,3.68
4/20/2017,3.839
4/19/2017,5.192
4/18/2017,4.69
4/17/2017,4.369
4/13/2017,3.619
4/12/2017,4.612
4/11/2017,4.647
4/10/2017,4.134
4/7/2017,2.049
4/6/2017,2.737
4/5/2017,3.211
4/4/2017,2.128
4/3/2017,1.353
3/31/2017,0.939
3/30/2017,1.01
3/29/2017,2.391
3/28/2017,2.788
3/27/2017,3.29
3/24/2017,0.624
3/23/2017,2.032
3/22/2017,2.756
3/21/2017,3.782
3/20/2017,4.616
